Lap Times,Passed Gates,Max Velocity,Mean Velocity
-1.00,0,3.14,1.97
5.10,4,3.24,1.62
5.12,4,3.34,1.65
-1.00,3,3.44,1.76
5.28,4,3.17,1.58
-1.00,0,3.28,1.98
5.08,4,3.23,1.63
5.30,4,3.15,1.57
-1.00,3,3.18,1.75
-1.00,0,3.33,2.07
4.82,4,3.20,1.73
-1.00,3,3.21,1.76
-1.00,1,3.17,1.83
-1.00,3,3.02,1.63
5.44,4,3.17,1.56
4.92,4,3.31,1.69
5.24,4,3.28,1.57
4.76,4,3.23,1.76
-1.00,3,3.29,1.76
-1.00,3,3.22,1.74
-1.00,3,3.33,1.75
5.14,4,3.22,1.64
-1.00,0,3.21,2.02
4.64,4,3.21,1.74
-1.00,0,3.18,2.06
-1.00,2,3.17,1.83
-1.00,0,3.32,2.14
4.94,4,3.23,1.68
5.28,4,3.13,1.58
4.94,4,3.15,1.67
4.64,4,3.22,1.79
-1.00,1,3.22,1.81
-1.00,0,3.23,2.06
4.78,4,3.20,1.70
4.56,4,3.26,1.84
5.14,4,3.19,1.63
-1.00,3,3.14,1.80
-1.00,2,3.40,2.05
5.02,4,3.29,1.66
4.82,4,3.21,1.73
5.28,4,3.08,1.58
4.96,4,3.21,1.68
-1.00,1,3.19,2.16
4.86,4,3.27,1.72
4.94,4,3.31,1.72
4.98,4,3.21,1.70
5.08,4,3.30,1.69
4.98,4,3.22,1.67
5.12,4,3.13,1.62
5.40,4,3.23,1.60
-1.00,3,3.23,1.70
-1.00,1,3.24,2.10
-1.00,3,3.11,1.67
-1.00,2,3.17,1.97
5.30,4,3.16,1.59
5.16,4,3.04,1.61
5.14,4,3.12,1.64
5.24,4,3.23,1.61
-1.00,0,3.34,2.18
5.42,4,3.18,1.56
5.22,4,3.26,1.62
-1.00,0,3.24,1.98
4.88,4,3.16,1.67
-1.00,3,3.19,1.70
4.90,4,3.25,1.66
5.02,4,3.08,1.66
5.24,4,3.23,1.61
4.74,4,3.21,1.75
5.28,4,3.21,1.60
-1.00,1,2.99,1.75
5.28,4,2.99,1.57
-1.00,0,3.14,2.02
-1.00,2,3.20,2.00
4.98,4,3.18,1.70
4.96,4,3.32,1.69
-1.00,0,3.15,2.06
-1.00,1,3.14,1.86
5.26,4,3.19,1.62
-1.00,0,3.26,2.01
5.12,4,3.15,1.63
-1.00,0,3.24,2.12
5.20,4,3.14,1.60
-1.00,0,3.26,2.08
5.18,4,3.22,1.62
4.92,4,3.26,1.68
-1.00,1,3.18,1.79
-1.00,3,3.22,1.77
-1.00,0,3.27,2.10
-1.00,0,3.28,2.04
4.92,4,3.13,1.65
4.84,4,3.22,1.69
5.00,4,3.23,1.72
5.34,4,3.14,1.56
5.34,4,3.06,1.57
5.18,4,3.26,1.64
5.34,4,3.20,1.61
-1.00,0,3.11,2.02
-1.00,0,3.11,1.97
5.04,4,3.12,1.67
5.02,4,3.16,1.64
