t,x,y,z
0,1,1.5,0
0.02,0.9998573,1.4996762,0.0070753
0.04,0.999434,1.4987115,0.0140873
0.06,0.9987378,1.4971162,0.0210362
0.08,0.9977762,1.4949006,0.0279226
0.1,0.9965567,1.4920749,0.0347468
0.12,0.9950868,1.4886494,0.0415094
0.14,0.993374,1.4846343,0.0482107
0.16,0.9914259,1.48004,0.0548512
0.18,0.98925,1.4748767,0.0614313
0.2,0.9868538,1.4691545,0.0679514
0.22,0.9842448,1.4628839,0.074412
0.24,0.9814307,1.456075,0.0808135
0.26,0.9784188,1.4487382,0.0871563
0.28,0.9752167,1.4408836,0.0934409
0.3,0.971832,1.4325216,0.0996676
0.32,0.9682721,1.4236624,0.105837
0.34,0.9645446,1.4143162,0.1119495
0.36,0.9606571,1.4044933,0.1180054
0.38,0.956617,1.3942041,0.1240053
0.4,0.9524318,1.3834586,0.1299495
0.42,0.9481092,1.3722673,0.1358385
0.44,0.9436565,1.3606403,0.1416728
0.46,0.9390815,1.348588,0.1474526
0.48,0.9343914,1.3361205,0.1531786
0.5,0.9246967,1.3099813,0.1644704
0.52,0.9146325,1.2823048,0.1755517
0.54,0.9042591,1.253173,0.186426
0.56,0.8936367,1.222668,0.1970967
0.58,0.8828254,1.190872,0.2075673
0.6,0.8718855,1.157867,0.2178411
0.62,0.8608772,1.1237351,0.2279217
0.64,0.8498606,1.0885583,0.2378126
0.66,0.838896,1.0524189,0.2475171
0.68,0.8280436,1.0153987,0.2570387
0.7,0.8173636,0.9775801,0.2663809
0.72,0.8069161,0.9390449,0.2755471
0.74,0.7967614,0.8998754,0.2845408
0.76,0.7869596,0.8601535,0.2933654
0.78,0.777571,0.8199615,0.3020244
0.8,0.7686558,0.7793813,0.3105213
0.82,0.7602742,0.738495,0.3188594
0.84,0.7524863,0.6973848,0.3270423
0.86,0.7453524,0.6561327,0.3350734
0.88,0.7389327,0.6148209,0.3429561
0.9,0.7332873,0.5735313,0.350694
0.92,0.7284765,0.5323461,0.3582904
0.94,0.7245605,0.4913474,0.3657488
0.96,0.7215994,0.4506172,0.3730727
0.98,0.7196535,0.4102377,0.3802655
1,0.718783,0.3702909,0.3873306
1.02,0.719048,0.3308589,0.3942716
1.04,0.7204785,0.2920176,0.4010893
1.06,0.7229014,0.2538013,0.4077668
1.08,0.7260607,0.2162274,0.4142803
1.1,0.7297001,0.1793132,0.4206058
1.12,0.733563,0.1430759,0.4267194
1.14,0.7373932,0.1075329,0.432597
1.16,0.7409343,0.0727013,0.4382147
1.18,0.74393,0.0385986,0.4435485
1.2,0.7461239,0.0052419,0.4485745
1.22,0.7472596,-0.0273515,0.4532687
1.24,0.7470808,-0.0591642,0.4576071
1.26,0.7464183,-0.0747724,0.4596354
1.28,0.745331,-0.0901789,0.4615657
1.3,0.743787,-0.1053817,0.4633952
1.32,0.741754,-0.1203785,0.4651207
1.34,0.7392002,-0.1351672,0.4667393
1.36,0.7360934,-0.1497456,0.468248
1.38,0.7324016,-0.1641116,0.4696437
1.4,0.7280928,-0.1782629,0.4709236
1.42,0.7231349,-0.1921975,0.4720846
1.44,0.7174958,-0.2059132,0.4731236
1.46,0.7111436,-0.2194078,0.4740378
1.48,0.7040462,-0.2326791,0.4748241
1.5,0.6961715,-0.2457251,0.4754795
1.52,0.6874874,-0.2585434,0.476001
1.54,0.677962,-0.2711321,0.4763857
1.56,0.6675633,-0.2834889,0.4766304
1.58,0.656259,-0.2956116,0.4767323
1.6,0.6443707,-0.3075026,0.4769962
1.62,0.6326103,-0.3191803,0.4780282
1.64,0.6209887,-0.3306639,0.4797916
1.66,0.6094941,-0.3419724,0.4822294
1.68,0.5981151,-0.3531248,0.4852848
1.7,0.58684,-0.3641399,0.4889007
1.72,0.5756573,-0.3750368,0.4930204
1.74,0.5535224,-0.3965519,0.5025432
1.76,0.5316176,-0.4178217,0.5133982
1.78,0.4881276,-0.460233,0.5372837
1.8,0.4663568,-0.481678,0.5494037
1.82,0.4444436,-0.5034857,0.5610392
1.84,0.4221324,-0.5258618,0.5724012
1.86,0.3993983,-0.5488602,0.583837
1.88,0.3764017,-0.572444,0.5953511
1.9,0.353303,-0.5965763,0.6069475
1.92,0.3302626,-0.6212201,0.6186307
1.94,0.3074411,-0.6463385,0.6304047
1.96,0.2849987,-0.6718945,0.6422739
